player,player_id,position,player_game_count,team_name,grades_fgep_kicker,pat_made,pat_attempts,pat_percent,one_made,one_attempts,one_percent,twenty_made,twenty_attempts,twenty_percent,thirty_made,thirty_attempts,thirty_percent,forty_made,forty_attempts,forty_percent,fifty_made,fifty_attempts,fifty_percent
Adam Vinatieri,226,K,16,IND,74.9,32,35,91.4,0,0,,7,8,87.5,6,6,100.0,8,8,100.0,4,5,80.0
Phil Dawson,422,K,16,SF,76.8,20,21,95.2,0,0,,9,10,90.0,6,6,100.0,6,8,75.0,3,3,100.0
Sebastian Janikowski,595,K,16,OAK,73.3,38,39,97.4,0,0,,7,7,100.0,5,6,83.3,5,8,62.5,4,5,80.0
Shayne Graham,730,K,5,ATL,73.2,8,8,100.0,0,0,,2,2,100.0,4,4,100.0,2,4,50.0,3,3,100.0
Matt Bryant,1223,K,10,ATL,59.4,26,26,100.0,1,1,100.0,4,4,100.0,3,4,75.0,6,9,66.7,0,0,
Josh Brown,1520,K,16,NYG,76.6,44,45,97.8,1,1,100.0,6,6,100.0,12,12,100.0,8,10,80.0,3,3,100.0
Josh Scobee,1858,K,4,PIT,30.6,6,7,85.7,0,0,,2,2,100.0,1,1,100.0,3,7,42.9,0,0,
Mike Nugent,2264,K,16,CIN,82.2,48,49,98.0,0,0,,6,6,100.0,5,6,83.3,10,13,76.9,2,3,66.7
Robbie Gould,2607,K,15,CHI,59.7,28,29,96.6,1,1,100.0,8,8,100.0,10,12,83.3,7,9,77.8,7,9,77.8
Nick Novak,2726,K,13,HST,60.3,29,31,93.5,0,0,,6,6,100.0,6,6,100.0,4,4,100.0,2,5,40.0
Stephen Gostkowski,3063,K,16,NE,90.5,52,52,100.0,0,0,,6,6,100.0,11,11,100.0,12,14,85.7,4,5,80.0
Matt Prater,3471,K,16,DET,70.0,36,39,92.3,0,0,,3,3,100.0,8,9,88.9,6,6,100.0,5,6,83.3
Nick Folk,3794,K,7,NYJ,65.2,19,19,100.0,0,0,,2,2,100.0,6,6,100.0,3,6,50.0,2,2,100.0
Mason Crosby,3809,K,15,GB,73.3,36,36,100.0,1,1,100.0,7,7,100.0,4,4,100.0,8,11,72.7,4,5,80.0
Stephen Hauschka,4655,K,16,SEA,76.8,40,44,90.9,0,0,,9,9,100.0,7,7,100.0,7,9,77.8,6,6,100.0
Dan Carpenter,4697,K,16,BUF,40.7,34,40,85.0,0,0,,5,5,100.0,8,9,88.9,7,8,87.5,3,5,60.0
Connor Barth,4777,K,12,TB,59.9,25,26,96.2,0,0,,9,9,100.0,8,8,100.0,3,6,50.0,3,5,60.0
Ryan Succop,5180,K,14,TEN,63.2,29,31,93.5,0,0,,3,3,100.0,3,3,100.0,7,7,100.0,1,3,33.3
Graham Gano,5443,K,16,CAR,81.4,56,59,94.9,1,1,100.0,10,10,100.0,4,5,80.0,12,15,80.0,3,5,60.0
Dan Bailey,6796,K,16,DAL,80.4,25,25,100.0,0,0,,9,9,100.0,10,10,100.0,6,7,85.7,5,6,83.3
Kai Forbath,6860,K,11,NO,78.4,34,35,97.1,0,0,,2,3,66.7,3,4,75.0,3,5,60.0,2,3,66.7
Randy Bullock,7154,K,11,NYJ,43.9,22,25,88.0,1,1,100.0,4,4,100.0,6,6,100.0,8,11,72.7,0,1,0.0
Greg Zuerlein,7163,K,14,SL,56.8,26,28,92.9,1,1,100.0,2,2,100.0,9,10,90.0,5,8,62.5,3,9,33.3
Blair Walsh,7167,K,16,MIN,64.1,33,37,89.2,0,0,,9,9,100.0,13,15,86.7,6,7,85.7,6,8,75.0
Ryan Quigley,7573,P,1,NYJ,64.5,4,4,100.0,0,0,,0,0,,0,0,,0,0,,0,0,
Justin Tucker,7604,K,16,BLT,74.7,29,29,100.0,0,0,,10,10,100.0,9,9,100.0,10,11,90.9,4,10,40.0
Caleb Sturgis,7948,K,13,PHI,56.1,35,37,94.6,0,0,,4,4,100.0,8,10,80.0,4,4,100.0,2,4,50.0
Dustin Hopkins,7958,K,15,WAS,68.4,39,40,97.5,0,0,,7,7,100.0,9,9,100.0,7,8,87.5,2,4,50.0
Brandon McManus,8437,K,16,DEN,68.9,35,36,97.2,0,0,,12,12,100.0,8,8,100.0,5,8,62.5,5,7,71.4
Zach Hocker,8862,K,8,SL,44.7,12,13,92.3,0,0,,3,3,100.0,5,6,83.3,1,3,33.3,1,2,50.0
Cairo Santos,8932,K,16,KC,70.1,39,41,95.1,0,0,,7,8,87.5,10,10,100.0,9,11,81.8,4,8,50.0
Chris Boswell,8990,K,12,PIT,68.9,26,27,96.3,1,1,100.0,9,9,100.0,8,8,100.0,9,12,75.0,2,2,100.0
Cody Parkey,9030,K,3,PHI,53.7,7,7,100.0,0,0,,1,1,100.0,1,1,100.0,1,2,50.0,0,0,
Chandler Catanzaro,9140,K,16,ARZ,59.8,53,58,91.4,1,1,100.0,12,12,100.0,9,9,100.0,6,7,85.7,0,2,0.0
Travis Coons,9268,K,16,CLV,72.4,22,24,91.7,0,0,,11,11,100.0,10,10,100.0,7,9,77.8,0,2,0.0
Kyle Brindza,9752,K,4,TB,27.8,6,8,75.0,0,0,,1,2,50.0,2,3,66.7,1,3,33.3,2,4,50.0
Andrew Franks,9814,K,16,MIA,50.9,33,36,91.7,1,1,100.0,3,3,100.0,4,4,100.0,4,6,66.7,1,2,50.0
Josh Lambo,10133,K,16,SD,53.7,28,32,87.5,0,0,,4,4,100.0,7,7,100.0,11,16,68.8,4,5,80.0
Jason Myers,10207,K,16,JAX,38.0,32,39,82.1,0,0,,9,10,90.0,8,8,100.0,6,8,75.0,3,4,75.0
