year,team_name,pass_snaps,sacks_allowed,hits_allowed,hurries_allowed,pressures_allowed,pbe
2018,PIT,726,13,20,103,136,89.7
2018,CHI,585,11,14,92,117,89.1
2018,BLT,606,8,17,104,129,88.7
2018,CLV,638,15,7,110,132,88.5
2018,ATL,676,21,28,91,140,88.1
2018,KC,641,13,30,98,141,88
2018,NE,598,12,34,88,134,87.8
2018,PHI,653,14,26,106,146,87.7
2018,NO,547,14,18,92,124,87.4
2018,IND,682,14,36,111,161,87.2
2018,LA,617,13,24,116,153,86.5
2018,BUF,595,15,20,119,154,85.8
2018,GB,729,30,19,130,179,85.7
2018,NYJ,581,17,19,115,151,85.5
2018,TEN,519,20,6,105,131,85.5
2018,DET,628,21,25,119,165,85.2
2018,DEN,632,15,21,137,173,85.1
2018,CAR,626,16,21,138,175,84.7
2018,SEA,502,25,9,98,132,84.4
2018,TB,725,25,43,134,202,84.3
2018,WAS,594,20,36,111,167,84.3
2018,DAL,612,26,23,120,169,84.1
2018,SF,593,20,38,117,175,83.6
2018,CIN,600,26,13,136,175,83.2
2018,NYG,633,28,23,139,190,82.8
2018,OAK,609,43,20,122,185,81.3
2018,MIA,520,28,31,110,169,81.1
2018,JAX,647,33,34,146,213,81
2018,LAC,552,26,34,125,185,80.9
2018,MIN,666,28,32,166,226,80.9
2018,HST,623,31,32,150,213,80.4
2018,ARZ,563,34,42,143,219,77.5
